xload,zload,max_mesh,decknodes,piernodes,time,min_d,max_d,mean_d,min_s,max_s,mean_s,shell-size,deck-size,pier-size
34.955, 12.626, 0.86, 7936, 2106, 45.104433897000035, -0.000364815, 0.00014608915447916168, -4.168978726606135e-06, -6.851390298913955, 11.246550449999999, 0.014583192226557197, 0.3974259954846511, 0.44033819543048924, 0.23912084644636167
34.955, 12.626, 0.85, 7936, 2106, 45.89904238599979, -0.000364815, 0.00014608915447916168, -4.168978726606135e-06, -6.851390298913955, 11.246550449999999, 0.014583192226557197, 0.3974259954846511, 0.44033819543048924, 0.23912084644636167
34.955, 12.626, 0.84, 7936, 2106, 44.084044462000065, -0.000364815, 0.00014608915447916168, -4.168978726606135e-06, -6.851390298913955, 11.246550449999999, 0.014583192226557197, 0.3974259954846511, 0.44033819543048924, 0.23912084644636167
34.955, 12.626, 0.83, 7936, 2106, 43.75618933700002, -0.000364815, 0.00014608915447916168, -4.168978726606135e-06, -6.851390298913955, 11.246550449999999, 0.014583192226557197, 0.3974259954846511, 0.44033819543048924, 0.23912084644636167
34.955, 12.626, 0.82, 8122, 2106, 43.088603956999805, -0.000365219, 0.00014600420483614954, -4.179342710560897e-06, -6.854486314570573, 11.50573765, 0.014954499117204909, 0.39017485319415357, 0.43017654476670875, 0.23912084644636167
34.955, 12.626, 0.81, 8370, 2106, 44.331477233999976, -0.000365232, 0.00014635276369836064, -4.177992564258353e-06, -6.854492374049643, 11.505889199999999, 0.014954139262235615, 0.3809084852576756, 0.41733545387815024, 0.23912084644636167
34.955, 12.626, 0.8, 8704, 2214, 48.254590177999944, -0.000365575, 0.00014642976369836063, -4.1818999800346395e-06, -6.846585282969577, 11.510600299999998, 0.014955018045281125, 0.3648907951083786, 0.40109347442680776, 0.22619539528709892
34.955, 12.626, 0.79, 8704, 2214, 48.998621289999846, -0.000365575, 0.00014642976369836063, -4.1818999800346395e-06, -6.846585282969577, 11.510600299999998, 0.014955018045281125, 0.3648907951083786, 0.40109347442680776, 0.22619539528709892
34.955, 12.626, 0.78, 9384, 2706, 58.528362990999995, -0.000365387, 0.00014652101836590164, -4.174373997876257e-06, -6.878642728361209, 11.513370299999998, 0.014935307502629721, 0.33041656345300535, 0.3716013071895425, 0.1884961627392623
34.955, 12.626, 0.77, 9936, 2706, 58.481297390000236, -0.000365522, 0.00014658623131803277, -4.173419863096807e-06, -6.874100126876903, 11.51480525, 0.014921784309441724, 0.31590682737628306, 0.35081242287124637, 0.1884961627392623
34.955, 12.626, 0.76, 10212, 2706, 61.27746163399979, -0.000365533, 0.00014645020394985278, -4.171396212272726e-06, -6.874123782387482, 11.514896700000001, 0.014921612133360324, 0.3091195716854182, 0.341266506602641, 0.1884961627392623
34.955, 12.626, 0.75, 10212, 2706, 59.51459470200007, -0.000365533, 0.00014645020394985278, -4.171396212272726e-06, -6.874123782387482, 11.514896700000001, 0.014921612133360324, 0.3091195716854182, 0.341266506602641, 0.1884961627392623
34.955, 12.626, 0.74, 10508, 2838, 63.41185041000017, -0.000365736, 0.00014643487012556313, -4.174525635544539e-06, -6.974822043302504, 11.54729015, 0.014917974431020432, 0.29878254523876885, 0.33151603498542276, 0.17882969285519756
34.955, 12.626, 0.73, 10508, 2838, 63.90838845300004, -0.000365736, 0.00014643487012556313, -4.174525635544539e-06, -6.974822043302504, 11.54729015, 0.014917974431020432, 0.29878254523876885, 0.33151603498542276, 0.17882969285519756
34.955, 12.626, 0.72, 10721, 2838, 66.24605192299987, -0.000365977, 0.00014647687012556314, -4.180405166302335e-06, -6.963418696388304, 11.7384968, 0.014904345239902304, 0.2940677620632247, 0.3248857142857143, 0.17882969285519756
34.955, 12.626, 0.71, 11076, 2838, 68.169797346, -0.000366273, 0.0001463790409146371, -4.185027043911812e-06, -6.965455043808158, 11.8232242, 0.014933478740410719, 0.2865319796117583, 0.3144055299539171, 0.17882969285519756
34.955, 12.626, 0.7, 11076, 2838, 68.27115351999964, -0.000366273, 0.0001463790409146371, -4.185027043911812e-06, -6.965455043808158, 11.8232242, 0.014933478740410719, 0.2865319796117583, 0.3144055299539171, 0.17882969285519756
