sensortype,sensorlabel,xpostruck,inflinedata
strains,T17,62.775,0.141909707617935
strains,T17,70.425,17.9772264717607
strains,T17,78.075,-0.89141426037673
strains,T17,85.725,-2.42533403700616
strains,T17,93.375,0.0006687274545753
strains,T17,99.75,0.186198807134523
strains,T18,10.5,-0.654809180863477
strains,T18,16.875,0.268078151025172
strains,T18,24.525,0.386532686114354
strains,T18,32.175,0.335533904984163
strains,T18,39.825,0.121901712952158
strains,T18,47.475,0.114130967827972
strains,T18,55.125,-0.156908375595932
strains,T18,62.775,-0.0519710554425735
strains,T18,70.425,13.4620151627908
strains,T18,78.075,-0.546325868978164
strains,T18,85.725,-2.35794734189031
strains,T18,93.375,-0.0201516686114357
strains,T18,99.75,0.287043467244542
strains,T19,10.5,-0.278226478479747
strains,T19,16.875,0.070982288381397
strains,T19,24.525,0.140100352058677
strains,T19,32.175,0.150682096349391
strains,T19,39.825,0.0500479759959989
strains,T19,47.475,0.0690421223537259
strains,T19,55.125,0.0141759159859978
strains,T19,62.775,-0.121618543090515
strains,T19,70.425,4.26717882392028
strains,T19,78.075,-0.311861297216203
strains,T19,85.725,-1.08951640406735
strains,T19,93.375,-0.0724644998833139
strains,T19,99.75,0.0983066111018495
strains,T20,10.5,-0.211817962393732
strains,T20,16.875,0.0478082660443407
strains,T20,24.525,0.117388106017669
strains,T20,32.175,0.112807823970661
strains,T20,39.825,0.00331904670778489
strains,T20,47.475,0.0537620276712779
strains,T20,55.125,0.0525258683113847
strains,T20,62.775,-0.205789029171529
strains,T20,70.425,3.58041344186046
strains,T20,78.075,-0.286729898316387
strains,T20,85.725,-1.17937496982831
strains,T20,93.375,-0.113063711818636
strains,T20,99.75,0.0889115919319885
displacements,U1,10.5,-0.321291953658942
displacements,U1,16.875,-0.0666821270211704
displacements,U1,24.525,0.0827160393398902
displacements,U1,32.175,0.0121240673445574
displacements,U1,39.825,-0.00426680280046681
displacements,U1,47.475,-0.0006791515252542
displacements,U1,55.125,0.00106877812968827
displacements,U1,62.775,-0.000740808468078028
displacements,U1,70.425,0.00126093687707641
displacements,U1,78.075,-0.000272215369228192
displacements,U1,85.725,0.00113441573595601
displacements,U1,93.375,0.0022626104350725
displacements,U1,99.75,0.00300890648441407
displacements,U2,10.5,-0.46855149024838
displacements,U2,16.875,-0.0848840940156694
displacements,U2,24.525,0.0843597682947158
displacements,U2,32.175,0.0118112802133689
displacements,U2,39.825,-0.00392843640606768
displacements,U2,47.475,-0.000179356559426553
displacements,U2,55.125,0.00247254209034839
displacements,U2,62.775,6.97449574926876e-06
displacements,U2,70.425,0.00206599003322259
displacements,U2,78.075,-0.000780041673612269
displacements,U2,85.725,-0.000146811135189176
displacements,U2,93.375,0.000686029338223051
displacements,U2,99.75,0.00152134189031506
displacements,U3,10.5,-0.640621344390738
displacements,U3,16.875,-0.0979063918986497
displacements,U3,24.525,0.0900565002500414
displacements,U3,32.175,0.0204593423903984
displacements,U3,39.825,-0.00247001750291721
displacements,U3,47.475,0.000656013502250363
displacements,U3,55.125,0.00274557009501585
displacements,U3,62.775,0.000384593265544238
displacements,U3,70.425,0.00212950166112963
displacements,U3,78.075,-0.00142999416569433
displacements,U3,85.725,-0.000739474079013161
displacements,U3,93.375,-0.000332179529921626
displacements,U3,99.75,0.000580324220703473
displacements,U4,10.5,-0.72718473912318
displacements,U4,16.875,-0.119396907817969
displacements,U4,24.525,0.0711323770628436
displacements,U4,32.175,0.0101567111185198
displacements,U4,39.825,-0.00515691448574761
displacements,U4,47.475,0.00223211701950328
displacements,U4,55.125,0.00134445074179028
displacements,U4,62.775,0.000371656942823789
displacements,U4,70.425,0.00398981063122923
displacements,U4,78.075,-0.00304023503917324
displacements,U4,85.725,0.00122065510918484
displacements,U4,93.375,-0.000661408568094731
displacements,U4,99.75,0.000188784797466226
displacements,U5,10.5,-0.534636601100189
displacements,U5,16.875,-0.090050405067511
displacements,U5,24.525,0.0709223070511754
displacements,U5,32.175,0.0112951808634772
displacements,U5,39.825,-1.05284214035658e-05
displacements,U5,47.475,-0.000105770961826952
displacements,U5,55.125,0.00562425737622937
displacements,U5,62.775,0.000919648274712468
displacements,U5,70.425,0.00126950830564786
displacements,U5,78.075,-0.000854562427071173
displacements,U5,85.725,-0.000852955492582082
displacements,U5,93.375,0.000349479913318879
displacements,U5,99.75,0.00191035172528756
displacements,U6,10.5,-0.329223553925653
displacements,U6,16.875,-0.0631530955159195
displacements,U6,24.525,0.054606647774629
displacements,U6,32.175,0.00789694282380397
displacements,U6,39.825,-0.00277021670278379
displacements,U6,47.475,0.00187622770461745
displacements,U6,55.125,0.00166902817136191
displacements,U6,62.775,0.00128598099683281
displacements,U6,70.425,0.003519646179402
displacements,U6,78.075,-0.00241512918819803
displacements,U6,85.725,0.000656586097682946
displacements,U6,93.375,-0.00126147691281879
