sensortype,sensorlabel,xpostruck,infline1,infline2
strains,B3,71,-0.0015526978484575,-0.00396781223615
strains,B3,72,-0.00142307830201875,-0.0036791737690625
strains,B3,73,-0.00124397880937,-0.00326396778775
strains,B3,74,-0.0010345859268375,-0.0027671143377
strains,B3,75,-0.00080029158627125,-0.002224161392105
strains,B3,76,-0.00057483191636375,-0.00164597145414625
strains,B3,77,-0.000357753294075,-0.00108107148771338
strains,B3,78,-0.00015295566278125,-0.000579488510285
strains,B3,79,2.4009498827015e-05,-0.00013729297573125
strains,B3,80,0.00016717230885125,0.000240475618570125
strains,B3,81,0.00028101673437375,0.00057565329511175
strains,B3,82,0.000365233273632475,0.0008434419810575
strains,B3,83,0.000424944322455,0.00101756080247375
strains,B3,84,0.0004614675927,0.001126460066185
strains,B3,85,0.00047610935357,0.0011732195191075
strains,B3,86,0.0004709284274575,0.00116454275266875
strains,B3,87,0.00044920684613,0.00110988686464375
strains,B3,88,0.00041411716758375,0.0010191496503325
strains,B3,89,0.0003688311712025,0.00090195576589
strains,B3,90,0.000316453410477125,0.00076721431723375
strains,B3,91,0.00025618301414625,0.00062201602530875
strains,B3,92,0.000197669460924375,0.000472747521928
strains,B3,93,0.0001403565370275,0.00032728945175575
strains,B3,94,8.62231008475e-05,0.000182857335746875
strains,B3,95,3.2915934235e-05,6.527001548875e-05
strains,B3,96,-1.1686139876125e-05,-3.3233090661625e-05
strains,B3,97,-4.86020836085e-05,-0.000116334800355875
strains,B3,98,-7.323088572775e-05,-0.0001706243482715
strains,B3,99,-8.8888510212125e-05,-0.00020847332472
strains,B3,100,-9.572840714425e-05,-0.000222094886813925
strains,B3,101,-9.55420993935e-05,-0.0002204127816865
strains,B3,102,-8.9710840275e-05,-0.00020653873866025
strains,B3,103,-7.877701528625e-05,-0.00018300079728775
strains,B3,104,-6.7061800121625e-05,-0.00015669567780375
strains,B3,105,-5.496999846425e-05,-0.000128820178779
strains,B3,106,-4.2103471635625e-05,-9.988930945575e-05
strains,B3,107,-2.73347336705e-05,-6.782621464125e-05
strains,B3,108,-1.4274947586675e-05,-3.9690984215125e-05
strains,B3,109,-6.5803708626e-06,-1.95907266572e-05
strains,B3,110,-2.0384148504375e-06,-5.8819501281625e-06
strains,B3,111,0,0
strains,B3,112,0,0
strains,B3,113,0,0
strains,B3,114,0,0
strains,B3,115,0,0
strains,B3,116,0,0
strains,B4,1,0.1514108597875,0.4856974952625
strains,B4,2,0.655785357,1.858464869625
strains,B4,3,1.3268552561375,3.961851827625
strains,B4,4,2.204852919375,7.114992832375
strains,B4,5,3.804203996875,12.3514492095
strains,B4,6,6.37105260625,20.82176330375
strains,B4,7,8.374051262125,27.38011009625
strains,B4,8,9.01203143125,29.30230110125
strains,B4,9,10.197791534,33.079260055
strains,B4,10,12.85613165275,41.89996334625
strains,B4,11,15.138931385,49.82268241125
strains,B4,12,15.25375824125,50.7797765625
strains,B4,13,13.43993115,45.02490851375
strains,B4,14,10.111502999,33.698647915
