53843K79J 79J2019032919460146   NP  0000    0.00              39991   29.802  29.796  29.784   65   49          
53843K79J 79J2019032919470147   NP  0000    0.00              39991   29.802  29.796  29.784   65   49          
53843K79J 79J2019032919480148   NP  0000    0.00              39991   29.802  29.796  29.784   64   50          
53843K79J 79J2019032919490149   NP  0000    0.00              39991   29.801  29.795  29.784   64   49          
53843K79J 79J2019032919500150   NP  0000    0.00              39991   29.801  29.795  29.784   64   49          
53843K79J 79J2019032919510151   NP  0000    0.00              39991   29.802  29.795  29.784   65   49          
53843K79J 79J2019032919520152   NP  0000    0.00              39991   29.802  29.796  29.784   65   49          
53843K79J 79J2019032919530153   NP  0000    0.00              39991   29.802  29.796  29.784   64   50          
53843K79J 79J2019032919540154   NP  0000    0.00              39991   29.802  29.796  29.784   64   49          
53843K79J 79J2019032919550155   NP  0000    0.00              39991   29.802  29.796  29.784   64   49          
53843K79J 79J2019032919560156   NP  0000    0.00              39991   29.802  29.796  29.784   64   49          
53843K79J 79J2019032919570157   NP  0000    0.00              39991   29.802  29.795  29.784   65   49          
53843K79J 79J2019032919580158   NP  0000    0.00              39991   29.801  29.795  29.784   65   49          
53843K79J 79J2019032919590159   NP  0000    0.00              39991   29.801  29.795  29.784   65   49          
53843K79J 79J2019032920000200   NP  0000    0.00              39991   29.802  29.796  29.784   64   49          
53843K79J 79J2019032920010201   NP  0000    0.00              39991   29.802  29.796  29.785   64   49          
53843K79J 79J2019032920020202   NP  0000    0.00              39991   29.803  29.797  29.785   64   49          
53843K79J 79J2019032920030203   NP  0000    0.00              39991   29.803  29.797  29.785   64   49          
53843K79J 79J2019032920040204   NP  0000    0.00              39991   29.803  29.797  29.786   64   49          
53843K79J 79J2019032920050205   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920060206   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920070207   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
53843K79J 79J2019032920080208   NP  0000    0.00              39991   29.804  29.798  29.786   64   49          
